Storage_Temperature_C,Storage_Time_Days,pH,Titratable_Acidity_pct,Microbial_Load_log_CFU_mL,Sensory_Score,Shelf_Life_Status
2.73,5.4,6.519,0.163,2.65,8.77,Acceptable
3.44,4.24,6.555,0.16,3.04,8.43,Acceptable
2.73,9.29,6.391,0.193,3.66,7.66,Acceptable
6.59,5.52,6.438,0.185,3.02,8.38,Acceptable
6.47,3.31,6.634,0.157,2.84,8.15,Acceptable
5.63,6.33,6.408,0.195,3.36,7.08,Acceptable
5.34,1.09,6.608,0.146,2.42,9.37,Acceptable
4.41,0.52,6.701,0.138,2.16,9.68,Acceptable
8.24,12.1,6.131,0.248,4.76,5.97,Spoiled
2.78,8.22,6.479,0.197,3.34,7.7,Acceptable
2.8,10.58,6.358,0.204,3.61,6.99,Acceptable
5.91,1.18,6.588,0.156,2.45,9.4,Acceptable
5.77,0.27,6.655,0.132,2.19,9.73,Acceptable
9.76,3.11,6.417,0.171,3.28,7.09,Acceptable
8.18,8.8,6.353,0.236,4.09,6.8,Spoiled
6.8,7.51,6.429,0.192,3.4,7.1,Acceptable
4.99,12.0,6.237,0.239,4.17,6.22,Spoiled
4.91,13.59,6.2,0.239,4.68,6.15,Spoiled
2.81,9.05,6.368,0.21,3.91,7.29,Acceptable
8.2,9.02,6.315,0.222,4.05,6.64,Spoiled
3.04,11.59,6.31,0.223,4.09,6.63,Spoiled
4.98,7.41,6.463,0.2,3.4,7.51,Acceptable
2.54,7.96,6.459,0.196,3.31,7.55,Acceptable
6.93,9.54,6.305,0.223,4.42,6.72,Spoiled
9.47,4.54,6.423,0.196,3.35,8.02,Acceptable
6.95,8.41,6.311,0.223,3.96,7.83,Spoiled
8.95,10.71,6.193,0.248,4.05,5.74,Spoiled
6.54,5.71,6.441,0.19,3.73,6.82,Acceptable
7.21,14.14,6.15,0.271,5.25,4.71,Spoiled
7.62,12.65,6.17,0.259,4.8,5.98,Spoiled
5.74,9.37,6.372,0.221,3.83,7.23,Spoiled
2.31,2.11,6.628,0.151,2.02,8.98,Acceptable
4.61,12.81,6.256,0.229,4.23,5.37,Spoiled
8.33,11.49,6.192,0.235,4.59,6.41,Spoiled
7.26,2.13,6.568,0.166,2.77,9.14,Acceptable
